Reading,ReadingFurigana,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions
しょ,しょ,しょ,69,2740,"0,3",counter for places
引き取る,引[ひ]き取[と]る,ひきとる,69,2511,3,"to leave,to go away,to withdraw,to get out,to take into one's care (e.g. person, pet),to take custody of,to adopt,to take into one's possession,to receive,to accept,to collect,to claim"
久,久[きゅうざき],きゅうざき,69,12628,0,"Kyūzaki,Tokuo,Tokunaga,Haruji,Hisakatsu,Hisaji,Hisasue,Hisatsugu,Hisato,Hisamatsu"
もっとも,もっとも,もっとも,69,3176,"3,1","but then,although,though,reasonable,natural,just"
とぼける,とぼける,とぼける,68,3909,3,"to play dumb,to feign ignorance,to play innocent,to have a blank facial expression,to play the fool,to be in one's dotage"
クビ,クビ,クビ,68,3341,"3,0,1","neck,head,dismissal (from a job),firing,sacking"
カニ,カニ,カニ,68,9086,0,crab
幕,幕[まく],まく,68,3497,2,"curtain,act (in a play),falling of the curtain,end (of a scene),end,close,case,occasion,role (to play),part,place,makuuchi,top division"
出入り口,出[で]入[い]り口[ぐち],でいりぐち,68,9695,"3,0",exit and entrance
番目,番[ばん]目[め],ばんめ,68,4682,"4,0","divisions of a kabuki performance,the nth ..."
建てる,建[た]てる,たてる,68,3999,2,"to build,to construct"
このとおり,このとおり,このとおり,68,5087,"5,3","like this,in this way,as you see"
ダイヤ,ダイヤ,ダイヤ,68,10225,"1,0",diamond
明石,明石,,68,35470,1,"Akeshi,Myōishi,Miyouishi,Akiishi,Akaishi,Akeishi"
したん,したん,したん,68,4927,"2,1","rosewood,red sandalwood"
カプセル,カプセル,カプセル,68,14799,1,capsule
掘る,掘[ほ]る,ほる,68,4116,1,"to dig,to excavate,to hollow,to delve into,to dig up (e.g. vegetables),(for two men) to have anal sex"
バロン,バロン,バロン,67,41648,1,baron
へり,へり,へり,67,8454,0,"decrease,reduction,fall"
ライフル,ライフル,ライフル,67,15471,1,rifle
倫子,倫子,,67,55176,,"Toshiko,Satoko,Shinako,Nobuko,Noriko,Hiroko,Michiko,Motoko"
求める,求[もと]める,もとめる,67,812,3,"to want,to wish for,to request,to demand,to require,to ask for,to seek,to search for,to look for,to pursue (pleasure),to hunt (a job),to find (a solution),to purchase,to buy"
作り,作[つく]り,つくり,67,2619,3,"making,producing,manufacturing,building,construction,make,structure,appearance (attire, make-up, etc.),build,physique,sashimi,forced (smile, etc.)"
２枚,２[に]枚[まい],にまい,67,6220,1,two sheets (of paper or other flat objects)
ブログ,ブログ,ブログ,67,9959,1,blog
ブレーキ,ブレーキ,ブレーキ,67,6735,"2,0","brake,(a) stop (to a development, behavior, etc.),(the) brakes"
学,学[がく],がく,67,4345,"0,1","learning,scholarship,study,erudition,knowledge,education,study of ...,-ology,-ics"
脅迫状,脅[きょう]迫[はく]状[じょう],きょうはくじょう,67,24728,0,"threatening letter,intimidating letter"
麻雀,麻雀,,67,26909,"0,1","mahjong,mah-jongg"
かけら,かけら,かけら,67,5653,0,"fragment,broken piece,chip,splinter,shard,ounce (of truth, conscience, etc.),trace,shred,scrap"
手配,手[て]配[はい],てはい,67,3375,"1,2","search (by police),arrangement,preparations"
ミスター,ミスター,ミスター,67,9422,1,"mister,Mr"
育郎,育郎,,66,141759,,"Ikuo,Ikurou,Yasuo"
しょうがない,しょうがない,しょうがない,66,1318,4,"cannot be helped,unavoidable,inevitable,(there's) nothing one can do,having no choice,it is what it is,there's no (other) way,cannot stand it,unbearable,cannot help (doing, feeling),dying (to do),hopeless (person),annoying,troublesome,awful,it's no use (doing),pointless,useless,no good,insufficient,not enough"
ずーっと,ずーっと,ずーっと,66,3951,0,"continuously,the whole time,all the way,throughout,much (more),(by) far,far and away,a lot,a great deal,far (away),long (ago, before, after),straight,directly"
安菜,安菜,,66,152949,,Yasuna
からくり,からくり,からくり,66,16895,"0,2","mechanical doll,string puppet,trick,dodge,mechanism,machinery,contrivance,device"
Ｔシャツ,Ｔ[ティー]シャツ,ティーシャツ,66,8076,0,"T-shirt,tee shirt"
陽菜,陽菜,,66,48589,,"Haruna,Akina"
フロア,フロア,フロア,66,7425,2,"floor (of a building),storey,story,sales floor,dance floor,floor"
取りつける,取[と]りつける,とりつける,66,20044,"4,0","to install,to fit,to fix,to set up,to furnish,to equip,to (manage to) obtain (someone's agreement, permission, etc.),to get,to secure (a contract, support, etc.),to patronize (a shop),to buy usually (from the same store)"
へへ,へへ,へへ,66,1528,"2,1","heh-heh,hee-hee,ha ha,female genitals,vagina,vulva"
能勢,能勢,,66,88002,,"Nosei,Noze,Nose,Nouse"
守,守[もり],もり,66,9067,1,"babysitting,babysitter,protecting,keeping,keeper"
シャワー,シャワー,シャワー,66,3630,1,shower
その辺,その辺[へん],そのへん,66,2733,0,"such a matter,such a thing,or thereabouts,or so,around there,near there"
残念ながら,残[ざん]念[ねん]ながら,ざんねんながら,66,1987,,"unfortunately,regrettably"
大坪,大坪,,66,91521,,"Otsubo,Ootsubo"
真上,真[ま]上[うえ],まうえ,66,9289,3,"right above,just above,directly above,directly overhead"
ただし,ただし,ただし,66,1345,1,"but,however,provided that"
のみ,のみ,のみ,66,1265,1,"only,nothing but"
手品,手[て]品[じな],てじな,66,10160,1,"magic (illusion),conjuring,magic trick,conjuring trick,sleight of hand"
カラス,カラス,カラス,65,8220,1,"crow (Corvus spp.),raven"
とんだ,とんだ,とんだ,65,3284,0,"very,extremely,terrible,awful,horrible,serious,outrageous,unexpected,unlikely,strange"
いかが,いかが,いかが,65,1222,2,"how,in what way,how about,questionable"
実行,実[じっ]行[こう],じっこう,65,3266,0,"execution (e.g. of a plan),carrying out,(putting into) practice,action,implementation,fulfillment,realization,execution (of a program),run"
地元,地[じ]元[もと],じもと,65,2817,"3,0","home area,home town,local"
近辺,近[きん]辺[ぺん],きんぺん,65,11442,1,"neighbourhood,neighborhood,vicinity"
係,係[かかり],かかり,65,2739,1,"charge,duty,person in charge,official,clerk,connection,linking"
サンダル,サンダル,サンダル,65,17054,"0,1",sandal
射殺,射[しゃ]殺[さつ],しゃさつ,65,12645,0,shooting to death
筋,筋[すじ],すじ,65,3064,1,"muscle,tendon,sinew,vein,artery,fiber,fibre,string,line,stripe,streak,reason,logic,plot,storyline,lineage,descent,school (e.g. of scholarship or arts),aptitude,talent,source (of information, etc.),circle,channel,well-informed person (in a transaction),logical move (in go, shogi, etc.),ninth vertical line,seam on a helmet,gristly fish paste (made of muscle, tendons, skin, etc.),social position,status,on (a river, road, etc.),along,counter for long thin things,counter for roads or blocks when giving directions,street (in Osaka),(Edo period) counter for hundreds of mon (obsolete unit of currency)"
呼び鈴,呼[よ]び鈴[りん],よびりん,65,24778,0,"bell (used for summoning or signalling),buzzer"
謎を解く,謎[なぞ]を解[と]く,なぞをとく,65,23475,,to solve a mystery
中村,中村,,65,13666,0,"Okamura,Kanakamura,Doi,Nakanu,Nakanura,Nakamufu,Nakamura,Nanakamura,Yoneji"
スタンガン,スタンガン,スタンガン,65,23679,2,stun gun
なんぞ,なんぞ,なんぞ,64,4051,1,"et cetera,etc.,and the like,and so forth"
１分,１[いち]分[ぶ],いちぶ,64,4800,"2,0","one tenth,one hundredth,one percent,one tenth of a sun,one quarter ryō (an old coin)"
その手,その手[て],そのて,64,2175,3,"that move,that trick,that game,that kind of,that way"
酔っぱらう,酔[よ]っぱらう,よっぱらう,64,12180,"0,4",to get drunk
強盗殺人,強[ごう]盗[とう]殺[さつ]人[じん],ごうとうさつじん,64,31577,5,"robbery and murder,murder during robbery"
結びつける,結[むす]びつける,むすびつける,64,11715,5,"to tie (to),to fasten,to attach,to join,to bind,to connect (one thing with another),to link,to bring together,to combine,to associate"
でない,でない,でない,64,1150,,"is not,am not,are not"
判明,判[はん]明[めい],はんめい,64,4061,0,"establishing,proving,ascertaining,identifying,confirming"
腹減った,腹[はら]減[へ]った,はらへった,64,5127,,I'm hungry
フード,フード,フード,64,9244,1,hood
綾子,綾[りん]子[ず],りんず,64,39671,"0,1",figured satin
とっさに,とっさに,とっさに,64,6038,0,"at once,immediately,instantly,in an instant,quickly,suddenly,on the spur of the moment"
録画,録[ろく]画[が],ろくが,64,8281,0,(video) recording
お邪魔,お邪[じゃ]魔[ま],おじゃま,64,1920,0,"hindrance,intrusion"
大騒ぎ,大[おお]騒[さわ]ぎ,おおさわぎ,64,3507,3,"clamour,clamor,uproar,tumult,furore,furor"
展示,展[てん]示[じ],てんじ,64,9189,0,"exhibition,display"
懐かしい,懐[なつ]かしい,なつかしい,64,1363,4,"dear (old),fondly remembered,beloved,missed,nostalgic"
宝田,宝田,,64,68726,,"Outa,Murota,Houda,Takarada"
ゆする,ゆする,ゆする,64,14521,0,"to shake,to jolt,to rock (cradle),to swing,to blackmail,to extort,to shake down"
鑑定,鑑[かん]定[てい],かんてい,64,8601,0,"judgement,judgment,expert opinion,appraisal"
小嶋,小嶋,,64,73258,,"Ejima,Oshima,Koshima"
真田,真田,,64,23597,0,"plait,braid"
峠,峠[とうげ],とうげ,63,14727,3,"(mountain) pass,highest point on a mountain road,ridge,peak (e.g. of summer),worst (e.g. of an illness),crisis,critical point,most difficult part"
外に,外[ほか]に,ほかに,63,3414,,"else,in addition,besides"
役者,役[やく]者[しゃ],やくしゃ,63,5930,0,"actor,actress,man of wits,clever person,cunning fellow"
手柄,手[て]柄[がら],てがら,63,4285,3,"achievement,feat,meritorious deed,distinguished service"
国末,国末,,63,135482,,Kunisue
名字,名[みょう]字[じ],みょうじ,63,6089,1,"surname,family name,last name"
踏み台,踏[ふ]み台[だい],ふみだい,63,13203,0,"stool (stood on to reach high objects),small stepladder,stepping stone"
ヒゲ,ヒゲ,ヒゲ,63,9276,0,"moustache,mustache,beard,whiskers,sideburns,whiskers (on a cat, etc.),feelers (on an insect, etc.),(chin) tuft,shadow (on a candlestick chart)"
たたり,たたり,たたり,63,23426,1,"curse,divine punishment,wrath (of an angry spirit)"
呪う,呪[のろ]う,のろう,63,4031,"2,0","to curse,to put a curse on,to detest intensely"
豹,豹[ひょう],ひょう,63,30955,1,leopard (Panthera pardus)
キャメル,キャメル,キャメル,63,57129,1,camel
３分,３[さん]分[ぷん],さんぷん,63,4406,0,three minutes
始まり,始[はじ]まり,はじまり,63,1978,0,"origin,beginning,start"
うっかり,うっかり,うっかり,63,3240,3,"carelessly,thoughtlessly,inadvertently"
しろ,しろ,しろ,63,5672,1,"white,innocence,innocent person,blank space,white stone,white dragon tile,skewered grilled pig intestine"
社長室,社[しゃ]長[ちょう]室[しつ],しゃちょうしつ,63,25855,,"president's office,director's office"
怪しむ,怪[あや]しむ,あやしむ,63,5763,3,to suspect
放置,放[ほう]置[ち],ほうち,63,3624,"0,1","leaving as is,leaving alone,leaving to chance,neglecting,abandoning"
修理,修[しゅう]理[り],しゅうり,63,4172,1,"repair,mending,fixing,servicing"
利く,利[き]く,きく,63,2073,0,"to be effective,to take effect,to be good (for),to work,to function well,to be possible (to do, use, etc.),to be able to,to taste (alcohol),to try"
橘,橘[たちばな],たちばな,63,15905,2,tachibana orange (Citrus tachibana)
らしき,らしき,らしき,62,4344,,"-ish,-like,resembling,appearing to be,seeming to be"
エンジン,エンジン,エンジン,62,4232,1,engine
試着室,試[し]着[ちゃく]室[しつ],しちゃくしつ,62,30227,,"dressing room,fitting room"
気球,気[き]球[きゅう],ききゅう,62,34959,0,"balloon (hot-air, weather, etc.),blimp"
にらむ,にらむ,にらむ,62,5697,2,"to glare at,to scowl at,to glower at,to stare intensely at,to examine carefully,to estimate,to guess,to suspect,to judge,to keep an eye on someone (e.g. a suspicious or untrustworthy person),to watch,to take account of,to take into consideration"
手口,手[て]口[ぐち],てぐち,62,7648,1,"modus operandi,criminal technique,trick"
誤る,誤[あやま]る,あやまる,62,5443,3,"to make a mistake (in),to commit an error,to do incorrectly,to err,to be wrong,to be incorrect,to be false,to be mistaken,to mislead,to misguide,to lead astray"
外出,外[がい]出[しゅつ],がいしゅつ,62,3875,0,"going out,outing,leaving (one's home, office, etc.)"
強盗事件,強[ごう]盗[とう]事[じ]件[けん],ごうとうじけん,62,32932,,"robbery,robbery case,burglary"
アウト,アウト,アウト,62,4171,1,"exit,exit here,front nine,no good,unacceptable,out of line,over,finished,disqualified,check-out time,out (of a ball; in tennis, etc.),outside the line,out,putout,outer,external,outside"
船木,船木,,62,82313,0,"Funaki,Funagi"
砂岡,砂岡,,62,146908,,"Isaoka,Sunaoka"
真珠,真[しん]珠[じゅ],しんじゅ,62,17640,0,pearl
はあっ,はあっ,はあっ,62,2659,1,"yes,indeed,well,ha!,what?,huh?,sigh"
専務,専[せん]務[む],せんむ,62,16686,1,"special duty,being in sole charge of a duty,senior managing director,executive director"
予備,予[よ]備[び],よび,62,5634,1,"reserve,spare,preparation,preliminaries"
検事,検[けん]事[じ],けんじ,61,17456,1,public prosecutor
まあね,まあね,まあね,61,2537,1,"well, I must admit ..."
江尻,江尻,,61,94184,1,"Ejiri,Eshiri"
あるいは,あるいは,あるいは,61,2070,2,"or,either ... or,maybe,perhaps,possibly,some ... and others ...,sometimes ... and at other times ..."
よお,よお,よお,61,2961,1,"hey,yo,hi,come on,hey"
葵,葵[あおい],あおい,61,12934,0,"mallow (any plant of family Malvaceae),Asarum caulescens (species of wild ginger)"
日付,日[ひ]付[づけ],ひづけ,61,6185,0,"date,dating"
矢印,矢[や]印[じるし],やじるし,61,21920,2,"arrow (symbol),(romantic) interest (for a certain person),direction (of one's attention, etc.)"
監視カメラ,監[かん]視[し]カメラ,かんしカメラ,61,9535,,"surveillance camera,security camera"
黄色い,黄[き]色[いろ]い,きいろい,61,6016,0,"high-pitched (voice),shrill,yellow"
自身,自[じ]身[しん],じしん,61,1111,1,"(one's) self,oneself,yourself,himself,herself"
いらっしゃいませ,いらっしゃいませ,いらっしゃいませ,61,1673,6,welcome
江,江[え],え,61,18288,1,"inlet,bay"
大ファン,大[だい]ファン,だいファン,61,11562,3,"big fan (of something or someone),great fan"
スター,スター,スター,61,5228,2,"(celestial) star,star (symbol),asterisk,star (actor, athlete, etc.),celebrity"
美術館,美[び]術[じゅつ]館[かん],びじゅつかん,61,14047,"3,2","art museum,art gallery"
ヤケド,ヤケド,ヤケド,61,26625,0,"burn,scald"
泰美,泰美,,61,169836,,"Kanami,Taimi,Hiromi,Yasutomi"
断定,断[だん]定[てい],だんてい,61,7098,0,"conclusion,decision,judgement,declaration,affirmative"
わりと,わりと,わりと,61,5467,0,"comparatively,relatively,fairly,rather,pretty,unexpectedly"
連続殺人,連[れん]続[ぞく]殺[さつ]人[じん],れんぞくさつじん,61,18114,5,serial murders
どなた,どなた,どなた,61,2458,1,who
エプロン,エプロン,エプロン,61,8285,"1,0","apron,apron (stage),apron (airport)"
柴田,柴田,,61,24624,0,"Shibada,Shibata,Shinoda,Shihada,Tsubata"
賞,賞[しょう],しょう,61,4974,1,"prize,award"
って言う,って言[い]う,っていう,61,1962,,"meaning,called,said"
ボディーガード,ボディーガード,ボディーガード,61,16983,4,bodyguard
成り済ます,成[な]り済[す]ます,なりすます,61,32137,"4,0","to pose as,to (successfully) impersonate,to pretend to be,to pass oneself off as,to disguise oneself as,to (completely) become,to (fully) turn into"
南京錠,南京錠,,61,41542,3,padlock
くわえる,くわえる,くわえる,61,6646,"0,3","to add,to add up,to sum up,to append,to annex,to increase,to gather (e.g. speed),to pick up,to include,to count in,to let join,to inflict (damage),to deal,to give"
スピード,スピード,スピード,61,2533,0,speed
立ち去る,立[た]ち去[さ]る,たちさる,61,4703,"3,0","to leave,to depart,to take one's leave"
初恋,初[はつ]恋[こい],はつこい,61,6020,0,"first love,puppy love"
麻酔銃,麻[ま]酔[すい]銃[じゅう],ますいじゅう,61,50269,,"tranquilizer gun,tranquiliser gun"
猿,猿[さる],さる,61,5657,"0,1","monkey (esp. the Japanese macaque, Macaca fuscata),ape,non-human primate,sly person,idiot,hick,sliding wooden bolt (for holding a door or window shut),clasp used to control the height of a pot-hook,bathhouse prostitute"
米倉,米[こめ]倉[ぐら],こめぐら,61,69823,0,rice granary
バウムクーヘン,バウムクーヘン,バウムクーヘン,60,56758,4,baumkuchen (German spit cake)
スピーカー,スピーカー,スピーカー,60,8639,2,speaker
めい,めい,めい,60,5875,0,"counter for people (usu. seating, reservations and such),first name,famous,great,name,noun"
行,行[ぎょう],ぎょう,60,2321,0,"line (of text),row,verse,carya (austerities),samskara (formations),semi-cursive style (of writing Chinese characters),running style"
どころ,どころ,どころ,60,1958,,"the place for,the time for,the level of"
こぼす,こぼす,こぼす,60,4350,2,"to spill,to drop,to shed (tears),to grumble (about),to complain (of),to let (one's feelings) show"
演じる,演[えん]じる,えんじる,60,3599,"0,3","to act (a part),to play (a role),to perform (a play, etc.),to put on (a production),to commit (e.g. a blunder),to disgrace oneself,to do something conspicuously,to make a scene,to pretend (e.g. to be a good father)"
懐,懐[ふところ],ふところ,60,4693,0,"heart (e.g. of a mountain),bosom (e.g. of nature),depths,inner part,inside the breast of one's clothing (esp. kimono),bosom,(breast) pocket,space between one's chest and outstretched arms,(one's) reach,mind,heart,inner thoughts,money (one is carrying),purse,pocketbook"
甲子園,甲[こう]子[し]園[えん],こうしえん,60,19937,3,"National High School Baseball Invitational Tournament (held annually in March at Koshien Stadium),Spring Koshien,National High School Baseball Tournament (held annually in August at Koshien Stadium),Summer Koshien,Koshien Stadium (baseball park in Nishinomiya, Hyōgo Prefecture)"
セーター,セーター,セーター,60,16984,1,"sweater,jumper"
雪女,雪[ゆき]女[おんな],ゆきおんな,60,38299,3,"yuki-onna (spirit in Japanese folklore),snow woman"
団,団[だん],だん,60,4317,1,"group,body,party,company,troupe,gang,corps,ring"
サスペンス,サスペンス,サスペンス,60,25398,"1,3","suspense (esp. in a film, novel, etc.)"
有里,有里,,60,84849,,"Asato,Arisa,Ariri,Arisato"
フン,フン,フン,60,4634,"1,0","hmm,well ...,humph,huh,pshaw,pish,roughly,harshly,violently"
昴,昴[すばる],すばる,60,36947,1,"Chinese ""Hairy Head"" constellation (one of the 28 mansions),Pleiades,Seven Sisters"
冗談じゃない,冗[じょう]談[だん]じゃない,じょうだんじゃない,60,3482,,"it's no joke,gimme a break!"
ほる,ほる,ほる,60,2110,0,"to throw,to fling,to hurl,to toss,to neglect,to abandon,to leave alone,to give up on,to leave undone,to leave unfinished"
河童,河童[かっぱ],かっぱ,60,31655,0,"cucumber sushi wrapped in nori,cucumber,excellent swimmer,kappa,mythical water-dwelling creature"
番藤,番藤,,60,158206,,Banfuji
ゴム,ゴム,ゴム,60,6542,1,"gum,rubber,eraser,condom"
クモ,クモ,クモ,60,14282,1,spider
二垣,二垣,,60,169811,,Nigaki
２度,２[に]度[ど],にど,60,6506,"1,0,2","two degrees,two times,twice"
お互い,お互[たが]い,おたがい,60,886,0,"each other,one another"
警視,警[けい]視[し],けいし,60,32758,1,police superintendent
ガソリン,ガソリン,ガソリン,60,13710,0,"gasoline,petrol"
見破る,見[み]破[やぶ]る,みやぶる,60,7269,"0,3","to see through (a plot, lie, etc.),to penetrate into,to discover,to find out"
結び目,結[むす]び目[め],むすびめ,60,23474,0,knot
お任せ,お任[まか]せ,おまかせ,60,2512,0,"leaving the choice of a meal to the chef,omakase,leaving (a decision, job, etc.) to someone else,entrusting"
ブローチ,ブローチ,ブローチ,60,26034,2,brooch
検問,検[けん]問[もん],けんもん,59,21793,0,"inspection,examination,check"
ヨーク,ヨーク,ヨーク,59,5926,1,yoke
陽子,陽[よう]子[し],ようし,59,23275,1,proton
ノウ,ノウ,ノウ,59,10866,1,"know,knowing,understanding"
口封じ,口[くち]封[ふう]じ,くちふうじ,59,13321,"3,0","silencing (someone),killing (someone) to prevent them from revealing something,muzzling (someone),gagging,forcing (someone) to keep quiet (about something)"
乗客,乗[じょう]客[きゃく],じょうきゃく,59,10416,0,passenger
違いない,違[ちが]いない,ちがいない,59,2299,4,"sure,no mistaking it,for certain,without doubt"
アタッシュケース,アタッシュケース,アタッシュケース,59,51764,5,attaché case
引き受ける,引[ひ]き受[う]ける,ひきうける,59,2050,4,"to take on,to undertake,to accept,to take charge of,to assume responsibility for,to take over,to inherit,to guarantee,to vouch for,to contract (a disease)"
沈める,沈[しず]める,しずめる,59,5355,"0,3","to sink (e.g. a ship),to submerge,to lower (e.g. one's body into a chair),to floor (an opponent)"
亡くす,亡[な]くす,なくす,59,4111,0,"to lose (through death; e.g. a wife, child)"
手首,手[て]首[くび],てくび,59,5179,1,wrist
張り込む,張[は]り込[こ]む,はりこむ,59,18564,3,"to keep watch (e.g. on a suspect),to be on the lookout (for),to lie in wait (for),to keep under surveillance,to stake out,to spend a lot of money (on),to treat oneself (to),to splurge (on),to invest (in),to paste,to stick,to affix"
ペンキ,ペンキ,ペンキ,59,18071,0,paint
今晩,今[こん]晩[ばん],こんばん,59,4657,1,"tonight,this evening"
片桐,片桐,,59,35299,2,"Katakiri,Katagiri"
とはいえ,とはいえ,とはいえ,59,1312,1,"though,although,be that as it may,nonetheless"
マイク,マイク,マイク,59,5835,1,"mike,mic,microphone"
鎖,鎖[くさり],くさり,59,6222,"0,3","chain,chains"
ゴルフ,ゴルフ,ゴルフ,59,11353,1,golf
吸い殻,吸[す]い殻[がら],すいがら,59,37881,0,"cigarette end,cigarette butt,tobacco ashes"
それこそ,それこそ,それこそ,59,1868,3,"surely,clearly,unmistakably,especially,particularly,as if,as though,just like"
タンス,タンス,タンス,59,15995,0,"chest of drawers,bureau,cabinet,tansu,dresser"
ゲッ,ゲッ,ゲッ,59,10001,"1,0","ugh,yuck,ick,blech,damn,crap"
タイマー,タイマー,タイマー,59,15622,1,"timer,time switch,stopwatch,time keeper,self-timer,(delay) timer"
大家,大[たい]家[か],たいか,59,8756,1,"rich family,distinguished family,mansion,large house,master,expert,authority,leading figure"
新出,新[しん]出[しゅつ],しんしゅつ,59,73700,0,"appearing for the first time (esp. vocabulary, kanji, etc. in a school textbook)"
万由子,万由子,,58,175367,,Mayuko
宅配便,宅[たく]配[はい]便[びん],たくはいびん,58,15869,0,"express home delivery parcel (box, etc.),express home delivery service"
遭遇,遭[そう]遇[ぐう],そうぐう,58,4388,0,"encounter,running into,meeting with (e.g. an accident),being confronted with (e.g. a difficulty)"
厨房,厨[ちゅう]房[ぼう],ちゅうぼう,58,9119,0,"kitchen,galley,(Internet) troll"
リフト,リフト,リフト,58,29201,1,"chairlift (e.g. at a ski resort),ski lift,(goods) lift,lift (in figure skating, ballet, etc.)"
よっしゃ,よっしゃ,よっしゃ,58,2013,,"gotcha,alrighty,got it,OK"
君恵,君恵,,58,128771,,Kimie
どうしたん,どうしたん,どうしたん,58,2240,,"what's the matter?,what's wrong?"
お巡りさん,お巡[まわ]りさん,おまわりさん,58,14747,2,police officer
運転席,運[うん]転[てん]席[せき],うんてんせき,58,16012,3,driver's seat (in a car)
いいぞ,いいぞ,いいぞ,58,1398,,"way to go!,attaboy!,hear, hear!"
箕輪,箕輪,,58,70877,,"Komawa,Minoo,Minoha,Minowa,Miwano"
レンズ,レンズ,レンズ,58,10105,1,lens
京極,京極,,58,54562,,"Kyōgyoku,Kyōgoku,Kiyougoku,Kyōkyoku"
茶髪,茶[ちゃ]髪[ぱつ],ちゃぱつ,58,23609,0,"hair dyed brown,brown-dyed hair"
小説家,小[しょう]説[せつ]家[か],しょうせつか,58,11645,0,"novelist,fiction writer"
軒,軒[けん],けん,58,4433,0,"counter for buildings (esp. houses),suffix for a pen name, stage name, etc."
画像,画[が]像[ぞう],がぞう,58,4510,0,"image,picture,portrait"
へと,へと,へと,58,1292,,"to,towards,for"
美香,美香,,58,43387,,"Yoshika,Yoshiko,Mihyan"
先端,先[せん]端[たん],せんたん,58,6439,0,"pointed end,tip,point,cusp (of a leaf, crescent moon, etc.),apex (of a curve),forefront,vanguard,spearhead,leading edge"
財閥,財[ざい]閥[ばつ],ざいばつ,58,18590,0,"zaibatsu,financial conglomerate,industrial group,rich person"
はは,はは,はは,58,1087,"2,0","aha!,yes sir"
カメラマン,カメラマン,カメラマン,58,9745,3,"photographer,cameraman,camera operator,cinematographer"
潮,潮[しお],しお,58,8048,0,"tide,current,sea water,opportunity,chance,thin soup of fish or shellfish boiled in seawater"
アトリエ,アトリエ,アトリエ,58,26066,0,"atelier,studio,workshop"
千野,千野,,58,113461,,"Chino,Senno,Yukino,Chiyono,Hoshino,Chiya"
その代わり,その代[か]わり,そのかわり,58,3539,0,"instead,but (on the other hand)"
持ち物,持[も]ち物[もの],もちもの,57,7604,"2,3","one's property,personal effects,one's belongings"
やれやれ,やれやれ,やれやれ,57,2340,1,"oh!,ah!,oh dear!,good grief!,dear me!,thank God!"
助手席,助[じょ]手[しゅ]席[せき],じょしゅせき,57,14488,0,"passenger seat,assistant driver's seat"
絆創膏,絆創膏,,57,20281,0,"adhesive bandage,sticking plaster,band-aid"
博物館,博[はく]物[ぶつ]館[かん],はくぶつかん,57,15078,"4,3",museum
武,武[ぶ],ぶ,57,9474,1,"the art of war,martial arts,military arts,military force,the sword,valor,bravery,military officer,military man"
いいや,いいや,いいや,57,1700,3,"no,nope"
和尚,和[お]尚[しょう],おしょう,57,29471,1,"priestly teacher,preceptor,monk (esp. the head monk of a temple),priest,head priest,second highest priestly rank in Buddhism,master (of one's art, trade, etc.)"
資産家,資[し]産[さん]家[か],しさんか,57,17871,0,wealthy person
１万,１[いち]万[まん],いちまん,57,4249,,"10,000,ten thousand"
死神,死[しに]神[がみ],しにがみ,57,9092,0,"god of death,death deity,Death,Grim Reaper"
戸棚,戸[と]棚[だな],とだな,57,19137,0,"cupboard,locker,closet,wardrobe,cabinet"
０時,０時,,57,14981,1,"twelve o'clock,midnight,noon"
フロント,フロント,フロント,57,13747,0,"front (aspect, weather, war-front, etc.),reception (e.g. in a hotel),front desk,front office,team management"
偽者,偽[にせ]者[もの],にせもの,57,9996,0,"impostor,imposter,pretender,liar"
台なし,台[だい]なし,だいなし,57,8284,0,"spoiled,spoilt,ruined,wasted (chance, etc.),messed up,destroyed,(coming to) nothing"
ブレーカー,ブレーカー,ブレーカー,57,26388,"2,0",(circuit) breaker
シート,シート,シート,57,6865,1,seat
お部屋,お部屋[へや],おへや,57,3560,0,"room,apartment,flat"
有名人,有[ゆう]名[めい]人[じん],ゆうめいじん,57,5016,3,"celebrity,famous person,public figure,big name"
むさし,むさし,むさし,57,37776,1,"Musashi (former province located in parts of present-day Tokyo, Kanagawa and Saitama prefectures)"
深町,深町,,57,77071,,"Shinmachi,Mimachi,Fukamachi"
辰村,辰村,,57,206171,,Tatsumura
マジシャン,マジシャン,マジシャン,57,26165,2,"magician,illusionist"
鮮やか,鮮[あざ]やか,あざやか,56,5877,2,"vivid,bright,brilliant,clear,fresh,vibrant,skillful,skilful,adroit,brilliant (performance, goal, etc.),splendid,superb,magnificent,fine"
弾丸,弾[だん]丸[がん],だんがん,56,7599,0,"bullet,shot,shell"
たほう,たほう,たほう,56,5691,2,"one (esp. of two),the other,one way,the other way,one direction,the other direction,one side,the other side,one party,the other party,on the other hand"
７つ,７[なな]つ,ななつ,56,12307,2,"four o'clock (old time system),seven years of age,seven"
もんで,もんで,もんで,56,2985,,conjunctive particle indicating a cause or reason
突き飛ばす,突[つ]き飛[と]ばす,つきとばす,56,8399,4,"to thrust away,to send flying"
あかね,あかね,あかね,56,29242,0,"madder (esp. Japanese madder, Rubia argyi),madder (red color)"
玄田,玄田,,56,128609,,"Genta,Genda"
通りかかる,通[とお]りかかる,とおりかかる,56,5929,"5,0",to happen to pass by
連れ,連[つ]れ,つれ,56,9767,0,"companion,company,tritagonist,second supporting character"
久しぶりに,久[ひさ]しぶりに,ひさしぶりに,56,1594,,"after a long time,for the first time in a while"
どうしたの,どうしたの,どうしたの,56,1892,,"what happened (to) ...?,what have you done (with) ...?,where is ...?,what's the matter?,what's wrong?"
